#,link,title,acceptance,difficulty
"73","https://leetcode.com/problems/set-matrix-zeroes","73. Set Matrix Zeroes","58.9%","Medium"
"75","https://leetcode.com/problems/sort-colors","75. Sort Colors","66.3%","Medium"
"1621","https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition","1498. Number of Subsequences That Satisfy the Given Sum Condition","43.8%","Medium"
"609","https://leetcode.com/problems/find-duplicate-file-in-system","609. Find Duplicate File in System","67.6%","Medium"
"101","https://leetcode.com/problems/symmetric-tree","101. Symmetric Tree","58.6%","Easy"
"1146","https://leetcode.com/problems/greatest-common-divisor-of-strings","1071. Greatest Common Divisor of Strings","52.5%","Easy"
"135","https://leetcode.com/problems/candy","135. Candy","44.4%","Hard"
"155","https://leetcode.com/problems/min-stack","155. Min Stack","55.9%","Medium"
"692","https://leetcode.com/problems/top-k-frequent-words","692. Top K Frequent Words","58.9%","Medium"
"695","https://leetcode.com/problems/max-area-of-island","695. Max Area of Island","72.9%","Medium"
"189","https://leetcode.com/problems/rotate-array","189. Rotate Array","42.4%","Medium"
"210","https://leetcode.com/problems/course-schedule-ii","210. Course Schedule II","52.6%","Medium"
"221","https://leetcode.com/problems/maximal-square","221. Maximal Square","48.2%","Medium"
"234","https://leetcode.com/problems/palindrome-linked-list","234. Palindrome Linked List","55.1%","Easy"
"1285","https://leetcode.com/problems/balance-a-binary-search-tree","1382. Balance a Binary Search Tree","84.7%","Medium"
"1320","https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii","1209. Remove All Adjacent Duplicates in String II","59.1%","Medium"
"303","https://leetcode.com/problems/range-sum-query-immutable","303. Range Sum Query - Immutable","67.2%","Easy"
"304","https://leetcode.com/problems/range-sum-query-2d-immutable","304. Range Sum Query 2D - Immutable","56.0%","Medium"
"816","https://leetcode.com/problems/design-hashset","705. Design HashSet","67.3%","Easy"
"1878","https://leetcode.com/problems/check-if-array-is-sorted-and-rotated","1752. Check if Array Is Sorted and Rotated","54.9%","Easy"
"852","https://leetcode.com/problems/friends-of-appropriate-ages","825. Friends Of Appropriate Ages","48.7%","Medium"
